,댓글
1,독도는 한국 영토입니다. Dokdo is Korean territory. 独島は韓国の領土です。 独岛是韩国的领土。
2,어딨는지도 모르면서 자기네들 땅이라고 주장하는 거 넘 재밌고
3,지들이 독도 일본땅 이라면서 독도가 어디있는지 모르는게 더 레전드ㅋㅋㅋㅋㅋㅋㅋㅋ
4,일본인들에게 우리는 이런 사람이 아니라는 것을 보여줘야 겠네요
5,김구라가 일본어 할 줄 알았어봐 진심 개막장 싸움 남
6,이 영상을 전세계 사람들이 보길 기원합니다
7,독도가 일본땅이라고 말하는거조차 심각하지만 처음보는 사람에게 저렇게 함부로 대하는게 진짜 심각하다. 예의가 정말없다.
8,일본사람들의 저런 말듣고  안때린 한국인들이 진짜 대단하다...
9,일본의 식민지였던 대한민국이 이제는 선진국으로 인정받고 이정도로 성장한 것 자체가 대단하다 일본과도 몇십년 차이 나던것이 이제는 10년정도 차이나고
10,"이 영상만 보고 판단하지 말아줘, 인터뷰하고 일본땅이라고 주장하는 사람은 노인들뿐이야.  그리고 이렇게 입이 나쁜건 일부 사람이야, 나도 믿을 수 없어.  번역기를 사용했기 때문에 실수가 있을지도 모릅니다. 그럴 경우 죄송합니다.  저는 한국인도 문화도 좋아합니다. 싸우고 싶지 않습니다. 이 문제가 평화적으로 해결되기를 바랍니다."
11,한국에서 가장 건들면 안 되는 발언 탑3:동양인 비하 탑2:독도 탑1:부모님 안부
12,나라에서는 해주는것도 없고 자영업자인데 해당도 안되는와중에 뱤@캬라@퓰@뱅 알고나서 아빠노릇합니다..ㅋ
13,와... 처음 본사람한테 저렇게 무례하게 대하고 일본 정부만 나쁜줄알았더니 ....시민 분들도 비슷하구나...
14,김구라 진심 빡쳤다가 점점 빡치기도 귀찮아진게 킬포임ㅋㅋㅋㅋㅋㅋ
15,부끄러움 이라는걸 모르는 나라. 역사교육의 중요성을 깨우쳐 주는 나라.
16,어디있는지도 모르면서 자기네 땅이라고 우기는게 신기해요 ㅎㅎ 제가 좀 어려서 뭘써야 할지 모르겠지만 일본인들이 경제적이득땜에 독도가 자기들에 영토라고 우기는게 참...
17,독도가 어디있는지도 잘 모르는분들이 왤케 당당한지..
18,컨텐츠 자체자막달아서 해외에 제발 보여주세요!
19,누가 그러더군요 독도 갈 때 일본인들은 여권을 가지고 가죠? 한국인들은 그냥 간답니다^^
20,근데 솔직히 자기 땅도 아닌 일본도 이런 행사를 지자체에서 진행하는데 우리도 국민들이 개인적으로 하는 행사나 이런거 말고도 더 많은 행사 했으면 좋겠다 ㅠㅠ
21,이래서 일본인들이란..;ㅉ 한국에 미안한마음을 가지고있는 일본인이 있는지 궁금하네 사과하기에는 때가 지났어
22,우리나라가 지금보다 더 강해져야하는 이유가 이 영상에 다 있네요. ㅜ 대한민국국민여러분 화이팅입니다
23,대체로 왜소한 일본인들 앞에 큰 장정 3명이 있으니 든든하네요
24,역사를 멋대로 바꾼건 미래도 좋지 못하게 바뀌겠죠..
25,김구라 진짜 많이 참고 있는 게 눈에 보인다
26,저는 개인적으로 이건 일본 나라 자체가 나쁜게 아니고 나라는 좋지만 사람들이 나쁜거라고 생각합니다 이건 개인적인 생각이기 때문에 화내시지 말아주세요!
27,"저거는 독도도 독도지만 무척 무례하다고 생각함. 한국인 일행분들은 정식으로 승인을 받고 취재를 하는 상황에서 뭣도 모르고 욕부터 박는 일본인들..그냥 자기가 보고 싶은대로 세상을 보는거 같음. 자신의 주장을 관철할 수는 있다지만, 거기에 근거가 없다면 그냥 쓰레기일뿐임."
28,"인간이살면서 아는게없는데 욕심만많으면 어떻게 망해버리는지 정확하게 알려주는 그모습들, 이 시대를 살아가면서 참된 본보기가 되어주는 희생(?)과도 같은 찌질함에 경의를표합니다."
29,저 일본인들도 어떻게 보면 불쌍한거지 지들 정부가 대놓고 조작에 은폐에 거짓말하는 것도 모르고 세뇌당해서 저게 진실인줄알고 사는거잖아 이래서 나라를 이끄는 정치인들이 어떤 인간인지가 중요하지  아이들에게 부모의 가정교육이 아이들의 인생을 좌지우지할만큼 중요한것처럼 나라가 국민들에게 올바른 역사관을 인식시키는게 정말 중요하다는것을 일본을 보면서 느낀다
30,"솔직히 다른 나라에서도 독도 우리 땅이라고 하고, 일본 정부도 인정했는데  그러면 진짜 자기들끼리만 싸우는 중인 거 아님? 이 정도면 밖에서는 이미 싸움 끝남"
31,"I am a student at Jeonju High School. Watching this video, I was disappointed with the behavior of Japanese people. Conflicts would not have arisen if they had lowered their voices and spoke slowly without being angry. It will also be very helpful in resolving conflicts that have not been resolved until now. However, I do not think it is appropriate for Japan to be angry and not listen to Korea at all. I think that they need the ability or courtesy to try to listen to the other person's opinion even a little and if there is a problem, explain it with appropriate grounds. Before I end the article, I would like to say something. Dokdo is recognized as Korean territory by the whole world except Japan, and some Japanese people also recognized it. I would like you to have doubts about claiming these objective facts on fabricated grounds, and please reflect on them. And through this, I hope that Japan will know the truth about the atrocities that it has done to Korea and apologize for it."
32,진짜 난폭하고 무례하다 ㅋㅋ 우리나라는 일본이 와도 저렇게는 안한다 그리고 상식 없는건 지네고
33,ㅋㅋㅋ 더 웃긴건 일본의 대부분의 역사학자들은 독도가 한국땅인걸 알고있다는 것 ㅋㅋㅋㅋㅋㅋㅋ 그저 왜곡 그 자체
34,12:22 와 솔직히 참는거에 한계가 온다 ㄹㅇ...
