,댓글 작성자,댓글,좋아요 개수,하트 유/무
1,이루리,"이때 전국민이 화내면서도 미안해했음... 은퇴무대인데 마지막인데 나라가 힘이 없어서 저런 대놓고 비리를 넘어갈 수 밖에 없다는 것에, 그 고통을 연아선수가 겪어야 한다는 것에 다들 분노하고 죄스러워했지... 아직도 기억 남 서명운동 계속 하고 실검에 연아야 수고했어 올리고 뭐라도 해주려고 아등바등 했던 게",1.7만,없음
2,Kow Low,"소트니코바는 김연아를 제치고 금메달을 땄음에도 세계는 그녀를 인정하지 않았고, 은메달을 받았음에도 세계에서 김연아를 최고로 인정하는것 이게 제일 중요한듯",5.1만,없음
3,웃어?,“왜 우리 스포츠를 망가뜨리려고 하나요?” 이 문장이 모든걸 설명합니다. 김연아 선수 고마웠어요. 덕분에 행복했어요.  저의 10대에 김연아 선수가 있었다는게 ,4.9천,없음
4,호랑이,은메달에 입맞춤하는 순간 빛반사로 금색으로 변한게 레전드지...하늘도 인정한 여왕.,1.6만,없음
5,HY K,저때 연아 어머님이 객석에서 울면서 팬에게 동메달도 못 따는 줄 알았다고 하셨다고 함. 소치 분위기가 너무 험악해서 실수 한번이라도하면 그냥 메달권에서 박탈이라는 걸 다들 알고 있었다고... 저런 속에서 클린연기를 펼친 갓연아 당신은 도덕책~~~@.@,1.9만,없음
6,저게 뭘까,"어디서 봤는데.. 편파판정때문에 금메달을 잃어버린 김연아가 했던말..  ""내가 점수를 인정하고 안 하고에 따라 달라지는것은 없어요 실수 없이 모든게 만족스럽게 잘 끝나기 때문에",2.7천,없음
7,hyun kim,이 경기 러시아한테 역사적인 경기임. 흑역사ㅋㅋ,2.2만,없음
8,Jo조환현,"우리나라 최고의 캐스터분이 남기셨던 명언이 생각나네요 ""푸틴 동네 운동회 할거면 우린 왜불렀냐""",1.9만,없음
9,하마,김연아가 대단한 이유는 저 상황에 억울해 하거나 울지 않으며 오히려 웃으며 평정심을 유지 했다는거다. 이건 정말 왠만한 사람들은 접근조차 할 수 없을만큼 강한 정신력이다.,8.8천,없음
10,고구마,해외에서 저런 말 다 해줘서 너무너무 통쾌함 한국은 저런 말 하면 외교적으로 문제되니까 잘 못하는데,6천,없음
11,o새별,이탈리아 해설 넘나 웃김. 자국 선수 카로 은메달 뺏긴건 관심도 읎고 오로지 연아 메달뺏긴거에 분노게이지 폭발ㅎㅎ,2.1만,없음
12,서동진,소트니코바는 그날 금메달을 받은 것이 아니라 저주를 받은건데.ㅎㅎ 그대로 꾸준히 했다면 조금씩 성장하며 자신의 힘으로 메달을 노렸을텐데 이후로 나락으로 빠지며 그냥 아무것도 아닌 존재가 됨,5.8천,없음
13,김멍멍,세상에서 가장 더러운 금메달과 가장 아름답고 빛난 은메달이었다,2.7만,없음
14,박정은,김연아가 대단한 이유는 이미 최고 정점을 찍고 아마 자신도 그 점수까지 다시 도달할 수 있을지 모르는 상황에서 다시 도전한거.. 일반 사람들이라면 벤쿠버 챔피언으로 명성 지키는걸 선택할텐데 다시 한번 올림픽에 도전해준게 진짜 대단했었음,447,없음
15,현냥,금메달 뺏겨도 제대로 손조차 쓰지 못하는 우리나라 체육계의 현실...,3.7천,없음
16,안드로이드,빅 데이터 분석결과. 저때 동메달 딴 선수가 이태리 사람이었는데 그건 관심도 없는 이태리 해설진 ㅋㅋㅋㅋ 불곰련때문에 자국선수 은메달 뺏긴건 모르고 여왕님 금메달 뺏긴거에 극대노,2.7천,없음
17,피노키오여리,김연아도 알고 다른 선수도 알고 심지어 소트니코바 본인도 알 것이며 ... 저 때 체점을 한 심판들은 제일 잘 알 것임  저 무대는 김연아가 최고였음,845,없음
18,AM,김연아의 마지막 무대는. 러시아가 아니었어야했다. 너무 슬퍼서 보지못했던 프로그램.....너무나 완벽하고 아름답다.,3,없음
19,vndck c,소트니코바는 금메달따고도 창피하고 얼굴 못들고 세계에서 욕을먹고 러시아도 온갖욕을먹고 반면 김연아선수는 세계에서 찬사를 받았죠 자랑스럽습니다 김연아 선수 세계역사에 기록될겁니다.,624,없음
20,Choi ik hyun,속으로 쌍욕 나올뻔도 한데 국제스포츠에서 예의 갖추려고 억울한 감정 누르는거 같음 사람이 싸가지도 있어야 잘 사는데,2천,없음
21,9써니,2:54 왜 우리 스포츠를 망가트리러고 하나요  여기가 핵심이지  해설자들도 피겨에 대해서 사랑하는 맘 가진 사람이니까  이건 피겨를 망치는거고 스포츠 정신에 위배되는거자나,9.6천,없음
22,장진철,딴나란데도 저렇게 진심으로 응원하고 감탄해주는게 너무 고맙다 molto grazie,670,없음
23,허승복,김연아선수는 진정한레전드 지금까지도 앞으루두 그어느누구와도 비교될수없는 완벽한선수입니다 사랑합니다 대한민국에진정한 챔피언,291,없음
24,하치,그래도 이탈리아 해설위원 특히 여성해설위원분.. 타국인데도 결과에 강한부정을 표해주시고 울분을 토해주셔서 감사하네요. 값진 은메달임을 확실히 인정받은느낌,130,없음
25,이건희,옛날에 그 움짤 봤었는데.. 김연아가 포디엄에서 은메달에 입맞춤을 했는데 그 순간 금색으로 빛나는거. 물론 조명 때문이었겠지만 조명마저 인정했던 그 순간,1.6만,없음
26,Miracle S2,난첨에 김연아가 금메달못받았다길래 다이아메달이있나 생각했네,5천,없음
27,푸른양말,베댓이 하는 말 진짜 존나 공감간다  세상에서 가장 더러운 금메달과 가장 아름답고 빛난 은메달이었다 띵언이네 ㄹㅇ 솔직하게 우리나라 뿐만 아니라 다른 나라까지 인정 못하는 금메달은 가치가 없다고 봄 그렇게 금메달 가져가봤자 베댓 말대로 세계에서 그녀를 인정 하지 않았는데 무슨 의미가 있을까,1.7천,없음
28,푸푸,하... 오래전 일인데 보면서 울컥했다  비록 이 경기에서는 러시아의 농간으로 은메달이지만 내 맘속에 올타임 넘버원은 김연아 선수 입니다,46,없음
29,st. HooN,선수생활동안 다른선수들 보다 터무니없이 낮게 받아왔던 점수때문에 얼마나 마음고생을 많이했으면 쇼트때 받는 점수랑 분위기로 프리 점수까지 예상이 가능한거냐..만약 내 딸이 잘해놓고도 저렇게 금메달 뺐기면 맴찢 장난 아닐거같다.. ㅠㅠ,378,없음
30,상현,뭐가 됬든 가장 우리나라를 빛낸 인물이고 항상 존경합니다 수고하셨습니다 정말...,141,없음
31,우당탕탕,"그녀이기에 레전드입니다!! 김연아선수 지금은 은퇴했지만, 선수시절 우리 두 눈으로 경기를 볼수있어서 너무나 행복했습니다",907,없음
32,나주,6:54 인형도 아름답게 줍는 그녀는 대체,5.5천,없음
33,대팔이,마오는 김연아의 라이벌이 아니다..마오가 먼저 세계적인 선수였었고 연아가 나중에 스타가 되다보니 라이벌로 엮는데 마오는 연와와 비교대상이 아니었다는건 전세계인은 알고있다..다만 일본인과 한국에서만 라이벌구도 였을뿐 세계에선 연아만이 독보적인 선수였다는걸 알아야 할것이다,1.4천,없음
